func,competitor,p_value,v3_mean_direction,significant
F1-D10,CA-static,1.799867936369921e-07,worse,yes
F1-D10,GWO,2.871949066320324e-11,better,yes
F1-D10,PSO,1.1483348024864044e-10,worse,yes
F1-D10,GA,2.871949066320324e-11,better,yes
F1-D10,WOA,2.871949066320324e-11,better,yes
F1-D10,L-SHADE,2.871949066320324e-11,worse,yes
F1-D10,CMA-ES,2.871949066320324e-11,worse,yes
F2-D10,CA-static,0.8591839142744377,worse,no
F2-D10,GWO,0.000260456253335,better,yes
F2-D10,PSO,0.0045310544365324,better,yes
F2-D10,GA,0.0428195073176977,worse,yes
F2-D10,WOA,1.6905880509649904e-05,better,yes
F2-D10,L-SHADE,0.5058591780795985,worse,no
F2-D10,CMA-ES,0.5058591780795985,worse,no
F4-D10,CA-static,0.3219021859861286,better,no
F4-D10,GWO,8.487224956448372e-10,better,yes
F4-D10,PSO,5.101390926008103e-05,better,yes
F4-D10,GA,1.9308924400541003e-08,better,yes
F4-D10,WOA,1.394973133218814e-10,better,yes
F4-D10,L-SHADE,0.5444075540129325,worse,no
F4-D10,CMA-ES,0.0332577966305003,worse,yes
F5-D10,CA-static,0.882465683286275,better,no
F5-D10,GWO,0.0546088652321405,worse,no
F5-D10,PSO,8.58254984926067e-06,worse,yes
F5-D10,GA,4.266554432209086e-06,better,yes
F5-D10,WOA,8.562993904900836e-11,better,yes
F5-D10,L-SHADE,1.9567799598061047e-10,worse,yes
F5-D10,CMA-ES,2.871949066320324e-11,worse,yes
F6-D10,CA-static,0.2369066427833156,better,no
F6-D10,GWO,3.878714475901378e-11,better,yes
F6-D10,PSO,6.8120053408138045e-09,better,yes
F6-D10,GA,0.0002065312047568,better,yes
F6-D10,WOA,2.4934439776647224e-08,better,yes
F6-D10,L-SHADE,3.878714475901378e-11,worse,yes
F6-D10,CMA-ES,4.7340206841988894e-11,worse,yes
F7-D10,CA-static,0.1833212262225083,worse,no
F7-D10,GWO,3.175217248667983e-11,better,yes
F7-D10,PSO,4.402995167987532e-10,better,yes
F7-D10,GA,0.0105365252586532,better,yes
F7-D10,WOA,2.871949066320324e-11,better,yes
F7-D10,L-SHADE,0.0109930026457564,worse,yes
F7-D10,CMA-ES,0.0006373466312952,better,yes
F8-D10,CA-static,0.5249522282756667,worse,no
F8-D10,GWO,5.22831602652652e-11,better,yes
F8-D10,PSO,7.385504195098963e-08,better,yes
F8-D10,GA,0.2488343839781533,better,no
F8-D10,WOA,2.871949066320324e-11,better,yes
F8-D10,L-SHADE,0.0004101307258195,worse,yes
F8-D10,CMA-ES,0.012999482492838,worse,yes
F9-D10,CA-static,0.5843624220907104,better,no
F9-D10,GWO,8.93338459269216e-05,better,yes
F9-D10,PSO,9.497303014292743e-05,better,yes
F9-D10,GA,0.0004846055678053,better,yes
F9-D10,WOA,2.2902248808643232e-08,better,yes
F9-D10,L-SHADE,0.1205749922602295,better,no
F9-D10,CMA-ES,1.0,better,no
F1-D20,CA-static,3.5097576968084746e-11,worse,yes
F1-D20,GWO,2.871949066320324e-11,better,yes
F1-D20,PSO,2.871949066320324e-11,better,yes
F1-D20,GA,2.871949066320324e-11,better,yes
F1-D20,WOA,2.871949066320324e-11,better,yes
F1-D20,L-SHADE,2.871949066320324e-11,worse,yes
F1-D20,CMA-ES,2.871949066320324e-11,worse,yes
F2-D20,CA-static,0.4871380317100193,worse,no
F2-D20,GWO,0.214276509861477,better,no
F2-D20,PSO,0.9293151249146342,better,no
F2-D20,GA,0.1241512810914928,worse,no
F2-D20,WOA,3.5097576968084746e-11,better,yes
F2-D20,L-SHADE,6.263888249513192e-08,worse,yes
F2-D20,CMA-ES,8.121073122605465e-09,worse,yes
F4-D20,CA-static,0.0236963474859871,better,yes
F4-D20,GWO,1.2077179187889386e-05,better,yes
F4-D20,PSO,0.0005715431241255,better,yes
F4-D20,GA,3.2610863452154165e-05,better,yes
F4-D20,WOA,2.871949066320324e-11,better,yes
F4-D20,L-SHADE,6.779815807390197e-07,worse,yes
F4-D20,CMA-ES,1.1483348024864044e-10,worse,yes
F5-D20,CA-static,0.7449863001756435,better,no
F5-D20,GWO,0.0947927923554053,worse,no
F5-D20,PSO,0.3219021859861286,better,no
F5-D20,GA,0.0667626139707639,better,no
F5-D20,WOA,3.5097576968084746e-11,better,yes
F5-D20,L-SHADE,7.043620777040635e-10,worse,yes
F5-D20,CMA-ES,2.871949066320324e-11,worse,yes
F6-D20,CA-static,0.3671365812484356,better,no
F6-D20,GWO,2.2603904862877002e-10,better,yes
F6-D20,PSO,5.308099050848031e-08,better,yes
F6-D20,GA,0.0021038931094179,better,yes
F6-D20,WOA,1.2555706904068689e-08,better,yes
F6-D20,L-SHADE,0.5945602565439676,worse,no
F6-D20,CMA-ES,9.193236731325049e-06,better,yes
F9-D20,CA-static,0.0863464464119469,worse,no
F9-D20,GWO,1.204416246623813e-07,better,yes
F9-D20,PSO,3.478526028053454e-05,better,yes
F9-D20,GA,3.056599868359383e-05,worse,yes
F9-D20,WOA,4.285539284060643e-11,better,yes
F9-D20,L-SHADE,2.871949066320324e-11,worse,yes
F9-D20,CMA-ES,2.871949066320324e-11,worse,yes
F11-D20,CA-static,0.3993893950136947,better,no
F11-D20,GWO,1.8647261589758647e-10,better,yes
F11-D20,PSO,1.6931348391614488e-10,better,yes
F11-D20,GA,2.204235655249356e-05,better,yes
F11-D20,WOA,3.878714475901378e-11,better,yes
F11-D20,L-SHADE,0.0001139754246379,better,yes
F11-D20,CMA-ES,2.871949066320324e-11,worse,yes
F12-D20,CA-static,0.8941460645782624,better,no
F12-D20,GWO,0.0760414758302433,better,no
F12-D20,PSO,0.0008794537064726,better,yes
F12-D20,GA,0.4161358470782788,worse,no
F12-D20,WOA,2.871949066320324e-11,better,yes
F12-D20,L-SHADE,2.5832395988225177e-06,worse,yes
F12-D20,CMA-ES,0.000603610841366,worse,yes
